City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,miri,4.4148,114.0089,29.08,74,40,0.51,MY,1724638910
249,luderitz,-26.6481,15.1594,12.56,75,7,4.51,NA,1724638911
250,krasnoarmeyskoye,52.7182,50.0322,14.81,95,11,3.09,RU,1724638694
251,gorgan,36.8387,54.4348,20.98,88,20,0.0,IR,1724638914
252,seversk,56.6006,84.8864,14.53,95,100,3.71,RU,1724638915
253,alo,6.5486,4.2686,24.0,93,100,2.85,NG,1724638916
254,suntar,62.1444,117.6319,17.2,56,71,3.05,RU,1724638917
255,elva,58.2225,26.4211,16.23,93,75,3.09,EE,1724638918
256,urucara,-2.5364,-57.76,27.14,50,21,1.56,BR,1724638919
257,nampula,-15.1165,39.2666,19.97,83,75,2.57,MZ,1724638920
258,la ceiba,15.7597,-86.7822,25.9,89,40,1.54,HN,1724638814
259,linxia chengguanzhen,35.6003,103.2064,17.4,83,100,0.83,CN,1724638923
260,mozelos,41.8677,-8.3978,15.69,65,46,2.89,PT,1724638924
261,puerto deseado,-47.7503,-65.8938,8.15,63,100,7.7,AR,1724638925
262,port blair,11.6667,92.75,27.02,78,40,4.12,IN,1724638926
263,saint-joseph,-21.3667,55.6167,16.21,74,51,6.88,RE,1724638927
264,qoryooley,1.7878,44.53,23.14,92,79,3.8,SO,1724638928
265,stutterheim,-32.5708,27.424,13.76,22,29,4.85,ZA,1724638929
266,qarqaraly,49.4058,75.4742,9.74,72,49,3.53,KZ,1724638931
267,mount pearl,47.5166,-52.7813,20.53,74,0,6.69,CA,1724638932
268,manokwari,-0.8667,134.0833,28.48,69,100,3.78,ID,1724638933
269,nova xavantina,-14.6667,-52.35,26.68,36,21,4.45,BR,1724638934
270,greymouth,-42.4667,171.2,13.04,89,95,2.16,NZ,1724638935
271,kapa'a,22.0752,-159.319,28.18,68,100,8.75,US,1724638936
272,bukama,-9.2,25.85,20.59,32,7,0.92,CD,1724638937
273,kone,-21.0595,164.8658,28.94,39,2,2.06,NC,1724638939
274,balqash,46.8481,74.995,15.33,58,0,3.0,KZ,1724638940
275,buenos aires,-34.6132,-58.3772,7.85,75,0,4.47,AR,1724638407
276,liezen,47.5667,14.2333,14.46,100,100,0.91,AT,1724638942
277,westerland,54.9079,8.3033,17.01,77,100,9.77,DE,1724638943
278,petawawa,45.9001,-77.3328,18.21,91,89,0.78,CA,1724638944
279,shimoda,34.6667,138.95,29.46,70,30,3.1,JP,1724638945
280,naze,28.3667,129.4833,30.51,73,2,5.58,JP,1724638946
